persona,Whether or not someone suffered emotionally.,Whether or not some people were treated differently than others.,Whether or not someone’s action showed love for his or her country.,Whether or not someone showed a lack of respect for authority.,Whether or not someone violated standards of purity and decency.,Whether or not someone was good at math.,Whether or not someone cared for someone weak or vulnerable.,Whether or not someone acted unfairly.,Whether or not someone did something to betray his or her group.,Whether or not someone conformed to the traditions of society.,Whether or not someone did something disgusting.,Whether or not someone was cruel.,Whether or not someone was denied his or her rights.,Whether or not someone showed a lack of loyalty.,Whether or not an action caused chaos or disorder.,Whether or not someone acted in a way that God would approve of.
"closed to experience, unconscientious, highly introverted, antagonistic and neurotic",not at all relevant,not very relevant,not at all relevant,slightly relevant,not very relevant,not at all relevant,not at all relevant,slightly relevant,not very relevant,slightly relevant,slightly relevant,not very relevant,not at all relevant,somewhat relevant,somewhat relevant,not at all relevant
"closed to experience, unconscientious, slightly introverted, antagonistic and neurotic",not very relevant,not at all relevant,not at all relevant,somewhat relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,somewhat relevant,not very relevant,not very relevant,slightly relevant,somewhat relevant,not very relevant
"closed to experience, unconscientious, introverted, highly antagonistic and neurotic",not very relevant,not very relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,slightly relevant,very relevant,not at all relevant,not at all relevant,somewhat relevant,somewhat relevant,not at all relevant
"closed to experience, unconscientious, introverted, slightly antagonistic and neurotic",not at all relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not very relevant,very relevant,not very relevant,somewhat relevant,slightly relevant,not very relevant,somewhat relevant,slightly relevant,not at all relevant
"closed to experience, unconscientious, introverted, antagonistic and highly neurotic",not at all relevant,not very relevant,not very relevant,very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,slightly relevant,somewhat relevant,not very relevant,not at all relevant,somewhat relevant,very relevant,not very relevant
"closed to experience, unconscientious, introverted, antagonistic and slightly neurotic",not very relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,somewhat relevant,slightly relevant,somewhat relevant,not at all relevant,slightly relevant,slightly relevant,not very relevant
"highly closed to experience, unconscientious, introverted, antagonistic and emotionally stable",not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant
"slightly closed to experience, unconscientious, introverted, antagonistic and emotionally stable",not very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,not very relevant,somewhat relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant
"closed to experience, highly unconscientious, introverted, antagonistic and emotionally stable",not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant
"closed to experience, slightly unconscientious, introverted, antagonistic and emotionally stable",not at all relevant,not very relevant,not at all relevant,somewhat relevant,not very relevant,not at all relevant,not at all relevant,slightly relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,not at all relevant
"closed to experience, unconscientious, highly introverted, antagonistic and emotionally stable",not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant
"closed to experience, unconscientious, slightly introverted, antagonistic and emotionally stable",not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,slightly relevant,slightly relevant,not very relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant
"closed to experience, unconscientious, introverted, highly antagonistic and emotionally stable",not at all relevant,not very relevant,not at all relevant,somewhat relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,slightly relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant
"closed to experience, unconscientious, introverted, slightly antagonistic and emotionally stable",not very relevant,not very relevant,not at all relevant,slightly relevant,not very relevant,not at all relevant,not at all relevant,slightly relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not at all relevant
"closed to experience, unconscientious, introverted, antagonistic and highly emotionally stable",not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not at all relevant
"closed to experience, unconscientious, introverted, antagonistic and slightly emotionally stable",not at all relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant
